@relation weka_TestData_driverHabit_clustered

@attribute Instance_number numeric
@attribute before numeric
@attribute after numeric
@attribute avg numeric
@attribute max numeric
@attribute distance numeric
@attribute second numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6}

@data
293,29.699999,0,-4.242857,-8.1,29.749999,8,cluster3
294,35.1,9.9,-4.2,-8.1,49.999999,7,cluster3
295,19.8,8.1,-3.9,-8.1,14,4,cluster0
296,38.7,12.599999,-3.728572,-8.1,60.749998,8,cluster3
297,36.899998,0,-3.69,-8.1,42.999999,11,cluster3
298,81,41.399998,-3.6,-8.1,205.749996,12,cluster3
299,18.9,4.5,-3.6,-8.1,19.5,5,cluster0
300,36.899998,9,-3.4875,-8.1,54.749999,9,cluster3
301,27.9,11.7,-3.24,-8.1,35.75,6,cluster3
302,14.4,1.8,-3.15,-8.1,12.25,5,cluster0
303,46.8,16.2,-3.06,-8.1,101.75,11,cluster3
304,34.2,0.9,-3.027273,-8.1,66.999999,12,cluster3
305,45.899998,22.5,-2.6,-8.1,88.999999,10,cluster3
306,19.8,4.5,-2.55,-8.1,18,7,cluster0
307,23.4,10.799999,-2.52,-8.1,26.499999,6,cluster3
308,37.8,8.099999,-2.475,-8.1,84.499998,13,cluster3
309,17.1,0,-3.42,-8.1,15.5,6,cluster0
310,49.5,0,-3.3,-8.099999,133.999997,16,cluster3
311,8.099999,0,-8.099999,-8.099999,2.25,2,cluster0
312,76.5,0,-4.25,-8.099999,255.499995,19,cluster3
313,27,0,-4.5,-8.099999,26.499999,7,cluster3
314,25.199999,0.9,-4.86,-8.099999,20.249999,6,cluster3
315,9,0,-4.5,-8.099999,4.75,3,cluster0
316,49.5,0,-4.125,-8.099999,95.249998,13,cluster3
317,16.199999,4.5,-3.9,-8.099999,13.499999,4,cluster0
318,14.4,2.7,-2.925,-8.099999,13.25,5,cluster0
319,10.799999,0,-2.7,-8.099999,10.499999,5,cluster0
320,30.599998,21.599998,-4.5,-8.099998,20.749999,3,cluster3
321,72.900002,42.299999,-4.371429,-8.099998,124.249998,8,cluster3
322,28.799999,9.9,-3.15,-8.099998,37.749999,7,cluster3
323,55.8,21.599998,-4.275,-8.099998,97.249997,9,cluster3
324,42.3,0.9,-4.14,-8.099998,75.249999,11,cluster3
325,56.699997,0,-4.05,-8.099998,118.999999,15,cluster3
326,47.699997,0,-3.407143,-8.099998,89.249997,15,cluster3
327,61.199997,53.1,-8.099997,-8.099997,31.749999,2,cluster2
328,44.1,30.599998,-4.500001,-8.099997,42.499999,4,cluster3
329,43.199997,34.2,-4.499999,-8.099997,31.249999,3,cluster3
330,50.399998,20.699999,-3.3,-8.099997,96.249996,10,cluster3
331,8.029725,0,-8.029725,-8.029725,2.230479,2,cluster0
332,99.35238,90.34786,-3.001507,-8.021585,105.609107,4,cluster4
333,45.190277,5.444397,-3.974588,-7.863897,67.983227,11,cluster3
334,7.799398,0,-7.799398,-7.799398,2.166499,2,cluster0
335,35.099998,24.179999,-2.73,-7.539998,38.202777,5,cluster3
336,48.989513,28.720852,-2.895523,-7.486462,88.9568,8,cluster3
337,110.257645,95.66819,-4.863152,-7.4812,115.971963,4,cluster4
338,45.199814,25.789036,-1.493137,-7.46125,154.072944,14,cluster3
339,91.27892,79.4723,-3.93554,-7.45696,96.353189,4,cluster4
340,114.59994,93.05391,-2.693254,-7.446045,263.222472,9,cluster4
341,43.88059,31.469433,-2.482231,-7.41864,66.944971,6,cluster3
342,36.899998,29.609999,-7.289999,-7.289999,18.474999,2,cluster2
343,53.1,0,-5.31,-7.200002,64.722221,11,cluster3
