@relation weka_TrainingData_driverHabit_jee_df_clustered

@attribute Instance_number numeric
@attribute 56.270603 numeric
@attribute 0 numeric
@attribute -28.1353015 numeric
@attribute -46.072006 numeric
@attribute 28.4285025 numeric
@attribute 3 numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6}

@data
255,4.514722,0.086723,-2.213999,-3.819413,1.471321,3,cluster0
256,5.478526,1.680042,-3.798484,-3.798484,1.988491,2,cluster2
257,109.3138,105.53699,-3.77681,-3.77681,59.680775,2,cluster5
258,91.29828,80.45881,-2.709868,-3.756125,119.372078,5,cluster2
259,116.05788,107.43931,-2.872857,-3.740524,123.728815,4,cluster4
260,41.529998,37.790001,-3.739997,-3.739997,22.033333,2,cluster3
261,84.66381,80.934525,-3.729285,-3.729285,45.999538,2,cluster2
262,54.653915,47.0022,-1.093102,-3.720367,113.072575,8,cluster2
263,108.79291,101.586685,-2.402075,-3.71988,115.947738,4,cluster4
264,64.934555,61.224876,-3.709679,-3.709679,35.044286,2,cluster2
265,40.146183,36.389816,-1.252122,-3.702797,41.505656,4,cluster2
266,35.691578,31.91682,-1.887379,-3.69669,28.672752,3,cluster2
267,27.532719,20.86822,-1.666125,-3.67994,33.382486,5,cluster2
268,106.50205,102.82531,-3.67674,-3.67674,58.146489,2,cluster5
269,105.82364,102.10141,-1.861115,-3.67535,86.131483,3,cluster5
270,51.32559,47.179638,-2.072976,-3.668848,40.600547,3,cluster2
271,66.26272,48.265987,-1.799673,-3.65791,172.768856,11,cluster2
272,105.53465,101.22678,-2.153935,-3.62016,86.557881,3,cluster5
273,70.30667,66.69864,-3.60803,-3.60803,38.057031,2,cluster2
274,99.33187,95.24102,-1.363617,-3.58754,107.169003,4,cluster4
275,25.856043,16.62917,-1.537812,-3.582611,42.495435,7,cluster2
276,109.988686,105.60057,-1.097029,-3.58053,149.978554,5,cluster4
277,105.52298,101.94503,-3.57795,-3.57795,57.630003,2,cluster5
278,90.535835,71.04211,-1.499517,-3.57746,317.112559,14,cluster4
279,42.793438,39.222275,-3.571163,-3.571163,22.782142,2,cluster3
280,99.67917,96.1134,-3.56577,-3.56577,54.386825,2,cluster5
281,115.36625,108.72605,-1.66005,-3.55745,154.802632,5,cluster4
282,113.78604,107.24209,-2.181317,-3.53916,123.113097,4,cluster4
283,100.49726,96.134026,-1.454411,-3.533054,110.188517,4,cluster4
284,36.92056,32.445705,-0.894971,-3.52248,58.711462,6,cluster2
285,55.82861,52.294174,-1.767218,-3.517373,44.565006,3,cluster2
286,117.45571,113.93921,-3.5165,-3.5165,64.276367,2,cluster5
