@relation weka_habit_test_clustered

@attribute Instance_number numeric
@attribute before numeric
@attribute after numeric
@attribute avg numeric
@attribute max numeric
@attribute dis numeric
@attribute sec numeric
@attribute cle numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6}

@data
223,28.8,19.8,-4.5,-8.100001,19.25,3,15.570905,cluster3
224,29.699999,16.199999,-4.5,-6.300001,25.999999,4,5.51045,cluster3
225,59.399998,54.899998,-4.5,-4.5,31.749999,2,5.720721,cluster3
226,63,0,-4.5,-9,163.999998,15,4.150327,cluster5
227,54,49.5,-4.5,-4.5,28.75,2,9.421335,cluster3
228,13.5,0,-4.5,-8.999999,8.25,4,8.037975,cluster2
229,27,0,-4.5,-8.099999,26.499999,7,7.677088,cluster5
230,41.399998,36.899998,-4.5,-4.5,21.749999,2,4.718136,cluster3
231,31.5,9,-4.5,-10.8,39.5,6,21.249767,cluster3
232,75.6,66.6,-4.5,-5.4,59.5,3,33.627553,cluster3
233,45,0,-4.5,-8.1,76.499999,11,3.80343,cluster5
234,39.6,3.6,-4.5,-7.200001,47.499999,9,6.686092,cluster1
235,66.6,62.1,-4.5,-4.5,35.75,2,8.713991,cluster3
236,41.399998,0.9,-4.5,-9,50.499999,10,4.573469,cluster1
237,6.3,1.8,-4.5,-4.5,2.25,2,3.890306,cluster1
238,45.899998,18.9,-4.5,-13.499998,73.249997,7,4.179874,cluster3
239,43.199997,20.699999,-4.5,-9.9,54.249999,6,11.981132,cluster3
240,36.899998,23.4,-4.499999,-7.2,33.749999,4,26.458333,cluster3
241,26.099998,17.1,-4.499999,-5.4,18.249999,3,6.43199,cluster3
242,43.199997,34.2,-4.499999,-8.099997,31.249999,3,4.967715,cluster3
243,32.399998,27.9,-4.499998,-4.499998,16.749999,2,4.288398,cluster3
244,66.6,0,-4.44,-16.199998,185.999995,16,33.504153,cluster5
245,57.6,0,-4.430769,-7.2,111.249998,14,26.541433,cluster5
246,39.6,0,-4.4,-7.2,58.749998,10,5.514266,cluster5
247,72.900002,42.299999,-4.371429,-8.099998,124.249998,8,7.950402,cluster0
248,65.7,35.1,-4.371429,-8.100003,116.749998,8,19.242424,cluster0
249,33.299999,2.7,-4.371428,-7.2,43.249999,8,18.225957,cluster1
250,60.3,3.6,-4.361538,-8.1,126.249998,14,19.97666,cluster0
251,47.7,21.6,-4.35,-7.2,60.25,7,4.767946,cluster3
252,37.8,11.7,-4.35,-10.800001,45.249999,7,3.259385,cluster3
253,26.099998,0,-4.35,-16.4,19.666666,7,5.63385,cluster5
254,56.7,9,-4.336364,-9.9,102,12,14.514918,cluster0
255,24.3,2.7,-4.32,-9,24.5,6,5.855827,cluster1
256,29.699999,8.099999,-4.32,-9,31.499999,6,6.08613,cluster1
257,21.599998,0,-4.32,-6.299999,19.749999,6,13.362077,cluster2
258,21.599998,0,-4.32,-6.299999,20.249999,6,15.325548,cluster2
259,38.7,0,-4.3,-8.999998,63.999999,10,5.091115,cluster5
260,81.9,64.799995,-4.275001,-9,98.499999,5,4.523659,cluster4
261,55.8,21.599998,-4.275,-8.099998,97.249997,9,6.978022,cluster0
262,17.1,0,-4.275,-7.199999,13.25,5,4.384132,cluster2
263,44.1,27,-4.275,-7.2,47.25,5,3.052885,cluster3
264,57.6,23.4,-4.275,-8.1,90.999999,9,7.766024,cluster0
265,28.8,11.7,-4.275,-7.2,30.499999,5,11.842359,cluster3
266,31.5,14.4,-4.275,-6.299999,32.75,5,3.711671,cluster3
267,17.1,0,-4.275,-7.2,9.75,5,11.031376,cluster2
268,36.899998,2.7,-4.275,-10.799999,58.749998,9,4.102087,cluster3
269,76.5,0,-4.25,-8.099999,255.499995,19,5.167438,cluster5
270,29.699999,0,-4.242857,-8.1,27.499999,8,5.876143,cluster5
271,29.699999,0,-4.242857,-8.1,29.749999,8,4.752218,cluster5
272,44.099998,14.4,-4.242857,-9,58.249999,8,3.77496,cluster3
273,45,2.7,-4.23,-6.300001,80.249998,11,10.325035,cluster0
274,73.799995,31.5,-4.229999,-5.399997,158.499994,11,7.857102,cluster0
275,54.899998,0,-4.223077,-16.2,132.749998,14,3.650516,cluster5
276,33.3,20.699999,-4.2,-5.399999,29.999999,4,26.591243,cluster3
277,25.2,0,-4.2,-4.5,25,7,6.767311,cluster5
278,13.5,0.9,-4.2,-10.799999,8,4,19.448924,cluster1
279,35.1,9.9,-4.2,-8.1,49.999999,7,5.374767,cluster3
280,50.399998,0,-4.2,-7.200001,88.999998,13,6.755319,cluster5
281,47.699997,9.9,-4.2,-7.200001,81.499998,10,10.492936,cluster0
282,41.399998,28.8,-4.199999,-6.3,40.499999,4,9.621212,cluster3
283,33.3,0,-4.1625,-8.100001,36.499999,9,7.516631,cluster5
284,20.7,0,-4.14,-9,21,6,5.772727,cluster2
285,42.3,0.9,-4.14,-8.099998,75.249999,11,7.922606,cluster0
286,20.699999,0,-4.14,-7.2,16.249999,6,16.0815,cluster2
287,49.5,0,-4.125,-8.099999,95.249998,13,4.710046,cluster5
288,57.6,0,-4.114286,-8.100003,120.999996,15,9.335809,cluster5
289,36.899998,0,-4.1,-6.300002,44.249998,10,30.444595,cluster5
290,36.899998,0,-4.1,-8.1,51.249998,10,5.607048,cluster5
291,55.8,47.699997,-4.050001,-5.400002,42.749999,3,17.771799,cluster3
292,13.5,5.4,-4.05,-7.199999,8.75,3,14.111111,cluster1
293,67.5,51.299999,-4.05,-6.300003,80.999999,5,7.110932,cluster3
294,45,36.9,-4.05,-4.5,34,3,9.921875,cluster3
295,33.3,17.1,-4.05,-6.3,33.75,5,4.17525,cluster3
296,48.6,0,-4.05,-7.200002,78.749998,13,25.53291,cluster5
297,60.3,36,-4.05,-9,87.999997,7,24.423077,cluster3
298,44.1,11.7,-4.05,-11.7,58.75,9,3.37766,cluster3
299,63,46.8,-4.05,-5.400003,78.249999,5,10.948276,cluster3
300,24.3,0,-4.05,-5.4,24.499999,7,8.943662,cluster5
301,29.699999,5.4,-4.05,-7.199999,30.749999,7,10.616336,cluster1
302,56.699997,0,-4.05,-8.099998,118.999999,15,6.5565,cluster5
303,32.399998,16.199999,-4.05,-7.2,33.999999,5,3.753986,cluster3
304,35.099998,18.9,-4.05,-8.1,36.499999,5,33.421053,cluster6
305,8.099999,0,-4.05,-5.399999,3,3,4.076811,cluster2
306,76.5,68.400002,-4.049999,-6.299995,61,3,6.497241,cluster4
307,36.899998,28.8,-4.049999,-5.399998,26.999999,3,4.46241,cluster3
308,63,10.799999,-4.015385,-9.000001,144.999998,14,14.900352,cluster0
309,36,0,-4,-7.2,50.999999,10,3.885495,cluster5
310,47.699997,0,-3.975,-6.300002,84.999998,13,16.843436,cluster5
311,39.6,0,-3.96,-7.2,64,11,5.120968,cluster5
312,19.8,0,-3.96,-9,18.999999,6,12.959184,cluster2
313,25.199999,5.4,-3.96,-6.300001,26.249999,6,4.411798,cluster1
314,26.099998,6.3,-3.96,-6.3,26.749999,6,5.680638,cluster1
315,38.7,7.2,-3.9375,-9,66.749999,9,4.349315,cluster0
316,54.899998,0,-3.921428,-10.799999,104.749998,15,7.505351,cluster5
317,44.1,32.399998,-3.900001,-9.900002,44.999999,4,5.653275,cluster3
318,38.700001,27,-3.9,-7.199999,36.749999,4,8.69863,cluster3
319,19.8,8.1,-3.9,-8.1,14,4,5.291667,cluster1
320,46.8,0,-3.9,-6.300001,83.249999,13,3.96875,cluster5
321,13.5,1.8,-3.9,-6.3,7,4,4.857536,cluster1
322,34.2,22.5,-3.9,-7.2,29.75,4,4.260732,cluster3
323,35.099998,0,-3.9,-6.3,52.749999,10,7.108674,cluster5
